iter	Passed	Remaining
570	5760	2310
571	5771	2300
572	5782	2290
573	5793	2280
574	5803	2271
575	5815	2261
576	5826	2251
577	5838	2242
578	5850	2232
579	5860	2223
580	5872	2213
581	5881	2203
582	5892	2193
583	5905	2184
584	5915	2174
585	5930	2165
586	5944	2157
587	5959	2148
588	5971	2139
589	5983	2129
590	5997	2120
591	6012	2112
592	6027	2104
593	6038	2094
594	6049	2084
595	6062	2074
596	6095	2072
597	6111	2064
598	6126	2055
599	6138	2046
600	6151	2036
601	6163	2027
602	6175	2017
603	6186	2007
604	6198	1997
605	6208	1987
606	6218	1977
607	6229	1967
608	6240	1957
609	6250	1946
610	6259	1936
611	6269	1926
612	6279	1915
613	6290	1905
614	6301	1895
615	6313	1885
616	6324	1875
617	6336	1866
618	6347	1856
619	6356	1845
620	6367	1835
621	6378	1825
622	6390	1815
623	6400	1805
624	6411	1795
625	6422	1785
626	6434	1775
627	6445	1765
628	6456	1755
629	6468	1745
630	6478	1735
631	6488	1724
632	6498	1714
633	6509	1704
634	6519	1693
635	6528	1683
636	6537	1672
637	6549	1662
638	6559	1652
639	6569	1642
640	6582	1632
641	6594	1622
642	6605	1612
643	6615	1602
644	6626	1592
645	6637	1582
646	6648	1572
647	6659	1562
648	6671	1552
649	6682	1542
650	6693	1532
651	6704	1521
652	6715	1511
653	6727	1501
654	6737	1491
655	6747	1481
656	6758	1471
657	6769	1460
658	6780	1450
659	6790	1440
660	6800	1430
661	6811	1419
662	6821	1409
663	6832	1399
664	6843	1389
665	6855	1379
666	6866	1369
667	6878	1359
668	6889	1349
669	6899	1338
670	6909	1328
671	6920	1318
672	6930	1307
673	6939	1297
674	6949	1286
675	6960	1276
676	6971	1266
677	6983	1256
678	6994	1246
679	7004	1236
680	7015	1225
681	7026	1215
682	7037	1205
683	7050	1195
684	7061	1185
685	7074	1175
686	7087	1165
687	7104	1156
688	7121	1147
689	7139	1138
690	7154	1128
691	7164	1118
692	7176	1108
693	7187	1097
694	7199	1087
695	7209	1077
696	7220	1066
697	7232	1056
698	7244	1046
699	7283	1040
700	7305	1031
701	7330	1023
702	7356	1015
703	7382	1006
704	7404	997
705	7427	988
